Date,Margin Debt,Free Credit Cash Accounts,Credit Balances In Margin Accounts,,FINRA Debt Balance,FINRA Free Credit Balances in Customers' Cash Accounts,FINRA Free Credit Balances in Customers' Securities Margin Accounts,Stitched Debt Balance,FINRA Free Credit Balances in Customers' Cash Accounts,FINRA Free Credit Balances in Customers' Securities Margin Accounts
4/30/1973,7040,NA,390,,,,,,,
3/31/1973,7200,NA,440,,,,,,,
2/28/1973,7500,NA,430,,,,,,,
1/31/1973,7700,NA,415,,,,,,,
12/31/1972,7900,NA,415,,,,,,,
11/30/1972,7890,NA,390,,,,,,,
10/31/1972,7800,NA,390,,,,,,,
9/30/1972,7800,NA,380,,,,,,,
8/31/1972,7780,NA,385,,,,,,,
7/31/1972,7660,NA,405,,,,,,,
6/30/1972,7510,NA,385,,,,,,,
5/31/1972,7200,NA,405,,,,,,,
4/30/1972,7010,NA,435,,,,,,,
3/31/1972,6620,NA,440,,,,,,,
2/29/1972,6180,NA,435,,,,,,,
1/31/1972,5700,NA,450,,,,,,,
12/31/1971,5400,NA,390,,,,,,,
11/30/1971,4910,NA,410,,,,,,,
10/31/1971,4950,NA,395,,,,,,,
9/30/1971,4930,NA,365,,,,,,,
8/31/1971,4850,NA,405,,,,,,,
7/31/1971,4790,NA,410,,,,,,,
6/30/1971,4720,NA,415,,,,,,,
5/31/1971,4620,NA,430,,,,,,,
4/30/1971,4530,NA,445,,,,,,,
3/31/1971,4300,NA,465,,,,,,,
2/28/1971,4090,NA,485,,,,,,,
1/31/1971,3990,NA,430,,,,,,,
12/31/1970,4010,NA,380,,,,,,,
11/30/1970,4000,NA,405,,,,,,,
10/31/1970,3990,NA,439,,,,,,,
9/30/1970,3910,NA,456,,,,,,,
8/31/1970,3800,NA,455,,,,,,,
7/31/1970,3780,NA,486,,,,,,,
6/30/1970,3850,NA,516,,,,,,,
5/31/1970,4160,NA,700,,,,,,,
4/30/1970,4360,NA,690,,,,,,,
3/31/1970,4520,NA,660,,,,,,,
2/28/1970,4570,NA,670,,,,,,,
1/31/1970,4680,NA,750,,,,,,,
12/31/1969,4970,NA,790,,,,,,,
11/30/1969,5070,NA,740,,,,,,,
10/31/1969,5040,NA,750,,,,,,,
9/30/1969,4940,NA,790,,,,,,,
8/31/1969,5000,NA,790,,,,,,,
7/31/1969,5170,NA,850,,,,,,,
6/30/1969,5340,NA,880,,,,,,,
5/31/1969,5670,NA,890,,,,,,,
4/30/1969,5570,NA,950,,,,,,,
3/31/1969,5600,NA,1140,,,,,,,
2/28/1969,5750,NA,1190,,,,,,,
1/31/1969,5930,NA,1130,,,,,,,
12/31/1968,6220,NA,1150,,,,,,,
11/30/1968,6200,NA,1080,,,,,,,
10/31/1968,6240,NA,1040,,,,,,,
9/30/1968,6380,NA,990,,,,,,,
8/31/1968,6430,NA,980,,,,,,,
7/31/1968,6510,NA,1060,,,,,,,
6/30/1968,6690,NA,1000,,,,,,,
5/31/1968,6640,NA,990,,,,,,,
4/30/1968,6430,NA,990,,,,,,,
3/31/1968,6190,NA,980,,,,,,,
2/29/1968,6150,NA,990,,,,,,,
1/31/1968,6150,NA,950,,,,,,,
12/31/1967,6310,NA,910,,,,,,,
11/30/1967,6090,NA,840,,,,,,,
10/31/1967,6020,NA,810,,,,,,,
9/30/1967,5810,NA,740,,,,,,,
8/31/1967,5620,NA,700,,,,,,,
7/31/1967,5490,NA,720,,,,,,,
6/30/1967,5360,NA,710,,,,,,,
5/31/1967,5160,NA,760,,,,,,,
4/30/1967,5090,NA,670,,,,,,,
3/31/1967,5010,NA,620,,,,,,,
2/28/1967,4870,NA,670,,,,,,,
1/31/1967,4810,NA,640,,,,,,,
12/31/1966,4910,NA,NA,,,,,,,
11/30/1966,4950,NA,NA,,,,,,,
10/31/1966,4950,NA,NA,,,,,,,
9/30/1966,5020,NA,NA,,,,,,,
8/31/1966,5060,NA,NA,,,,,,,
7/31/1966,5180,NA,NA,,,,,,,
6/30/1966,5310,NA,NA,,,,,,,
5/31/1966,5070,NA,NA,,,,,,,
4/30/1966,5270,NA,NA,,,,,,,
3/31/1966,5120,NA,NA,,,,,,,
2/28/1966,5110,NA,NA,,,,,,,
1/31/1966,5020,NA,NA,,,,,,,
12/31/1965,5543,NA,1666,,,,,,,
11/30/1965,5232,NA,1479,,,,,,,
10/31/1965,5096,NA,1475,,,,,,,
9/30/1965,5016,NA,1369,,,,,,,
8/31/1965,4908,NA,1192,,,,,,,
7/31/1965,4887,NA,1233,,,,,,,
6/30/1965,5139,NA,1297,,,,,,,
5/31/1965,5154,NA,1208,,,,,,,
4/30/1965,5096,NA,1207,,,,,,,
3/31/1965,5085,NA,1264,,,,,,,
2/28/1965,5038,NA,1254,,,,,,,
1/31/1965,5019,NA,1207,,,,,,,
12/31/1964,5101,NA,1169,,,,,,,
11/30/1964,5181,NA,1131,,,,,,,
10/31/1964,5205,NA,1155,,,,,,,
9/30/1964,5241,NA,1145,,,,,,,
8/31/1964,5207,NA,1077,,,,,,,
7/31/1964,5314,NA,1114,,,,,,,
6/30/1964,5388,NA,1146,,,,,,,
5/31/1964,5458,NA,1138,,,,,,,
4/30/1964,5531,NA,1165,,,,,,,
3/31/1964,5387,NA,1231,,,,,,,
2/29/1964,5405,NA,1199,,,,,,,
1/31/1964,5546,NA,1262,,,,,,,
12/31/1963,5541,NA,1210,,,,,,,
11/30/1963,5621,NA,1211,,,,,,,
10/31/1963,5524,NA,1176,,,,,,,
9/30/1963,5356,NA,1180,,,,,,,
8/31/1963,5057,NA,1093,,,,,,,
7/31/1963,4920,NA,1126,,,,,,,
6/30/1963,4930,NA,1149,,,,,,,
5/31/1963,4760,NA,1164,,,,,,,
4/30/1963,4551,NA,1199,,,,,,,
3/31/1963,4358,NA,1175,,,,,,,
2/28/1963,4355,NA,1191,,,,,,,
1/31/1963,4236,NA,1199,,,,,,,
12/31/1962,4149,NA,1216,,,,,,,
11/30/1962,3975,NA,1151,,,,,,,
10/31/1962,3889,NA,1126,,,,,,,
9/30/1962,3914,NA,1091,,,,,,,
8/31/1962,3796,NA,1130,,,,,,,
7/31/1962,3592,NA,1252,,,,,,,
6/30/1962,3637,NA,1374,,,,,,,
5/31/1962,4034,NA,1205,,,,,,,
4/30/1962,4115,NA,1110,,,,,,,
3/31/1962,4117,NA,1154,,,,,,,
2/28/1962,4100,NA,1190,,,,,,,
1/31/1962,4145,NA,1225,,,,,,,
12/31/1961,4294,NA,1219,,,,,,,
11/30/1961,4180,NA,1213,,,,,,,
10/31/1961,4072,NA,1214,,,,,,,
9/30/1961,4037,NA,1227,,,,,,,
8/31/1961,4021,NA,1208,,,,,,,
7/31/1961,4041,NA,1207,,,,,,,
6/30/1961,4076,NA,1283,,,,,,,
5/31/1961,4100,NA,1453,,,,,,,
4/30/1961,3986,NA,1508,,,,,,,
3/31/1961,3656,NA,1507,,,,,,,
2/28/1961,3426,NA,1392,,,,,,,
1/31/1961,3330,NA,1269,,,,,,,
12/31/1960,3317,NA,1135,,,,,,,
11/30/1960,3240,NA,1062,,,,,,,
10/31/1960,3243,NA,1063,,,,,,,
9/30/1960,3259,NA,1059,,,,,,,
8/31/1960,3220,NA,1021,,,,,,,
7/31/1960,3113,NA,1018,,,,,,,
6/30/1960,3188,NA,1016,,,,,,,
5/31/1960,3151,NA,970,,,,,,,
4/30/1960,3150,NA,940,,,,,,,
3/31/1960,3145,NA,988,,,,,,,
2/29/1960,3267,NA,981,,,,,,,
1/31/1960,3333,NA,998,,,,,,,
12/31/1959,3430,NA,996,,,,,,,
11/30/1959,3438,NA,974,,,,,,,
10/31/1959,3378,NA,966,,,,,,,
9/30/1959,3406,NA,1039,,,,,,,
8/31/1959,3424,NA,1035,,,,,,,
7/31/1959,3528,NA,1079,,,,,,,
6/30/1959,3546,NA,1094,,,,,,,
5/31/1959,3549,NA,1188,,,,,,,
4/30/1959,3567,NA,1205,,,,,,,
3/31/1959,3458,NA,1257,,,,,,,
2/28/1959,3410,NA,1196,,,,,,,
1/31/1959,3452,NA,1226,,,,,,,
